Crime Code,Crime Code Description,MO Codes, Age,Sex,Liscense Plate,Premise Code,Premise Description,Weapon Used Code,Weapon Description
886,DISTURBING THE PEACE,1501,23,M,W19-FJK,720,JUNIOR HIGH SCHOOL,0,none
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,35,F,G52-RKD,101,STREET,0,none
440,THEFT PLAIN - PETTY ($950 & UNDER),344,21,F,L18-DJU,501,SINGLE FAMILY DWELLING,0,none
230,ASSAULT WITH DEADLY WEAPON- AGGRAVATED ASSAULT,0334 0411 1402,36,M,C83-DHT,102,SIDEWALK,207,OTHER KNIFE
624,BATTERY - SIMPLE ASSAULT,416,37,F,E34-SHD,101,STREET,400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
230,ASSAULT WITH DEADLY WEAPON- AGGRAVATED ASSAULT,411,34,M,F37-DKF,501,SINGLE FAMILY DWELLING,223,UNKNOWN TYPE CUTTING INSTRUMENT
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1402,27,F,N85-CJS,101,STREET,0,none
625,OTHER ASSAULT,1212 0305 0432,0,M,X45-JDW,102,SIDEWALK,0,none
626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 2000 0416 1814 0432 0334,28,F,M76-CJS,502,MULTI-UNIT DWELLING (APARTMENT ),0,none
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 2004,28,F,W19-KFS,203,OTHER BUSINESS,0,none
210,ROBBERY,0378 0344 0444 0416 0319,36,M,V48-WER,406,OTHER STORE,400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
230,ASSAULT WITH DEADLY WEAPON- AGGRAVATED ASSAULT,0416 0432 0411 0429,55,F,Q56-ASK,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2002 0421 0432 1402,20,M,V67-CJS,210,RESTAURANT/FAST FOOD,511,VERBAL THREAT
230,ASSAULT WITH DEADLY WEAPON- AGGRAVATED ASSAULT,0319 0443,41,M,L63-CHW,102,SIDEWALK,304,CLUB/BAT
624,BATTERY - SIMPLE ASSAULT,416,29,M,B65-GJD,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON
230,ASSAULT WITH DEADLY WEAPON- AGGRAVATED ASSAULT,400,24,M,F12-JSF,503,HOTEL,212,BOTTLE
310,BURGLARY,0344 1606,37,F,K72-SDH,502,MULTI-UNIT DWELLING (APARTMENT),0,none
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,33,M,C45-DJW,404,DEPARTMENT STORE,0,none
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,56,M,M62-FJS,405,CLOTHING STORE,0,none
230,ASSAULT WITH DEADLY WEAPON- AGGRAVATED ASSAULT,0416 1402 1218,34,F,S82-FJE,102,SIDEWALK,312,PIPE/METAL PIPE
230,ASSAULT WITH DEADLY WEAPON- AGGRAVATED ASSAULT,0416 1402,54,M,M42-SHT,102,SIDEWALK,312,PIPE/METAL PIPE
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444,20,F,C28-KAD,502,MULTI-UNIT DWELLING (APARTMENT),400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,421,28,M,C62-SHD,502,MULTI-UNIT DWELLING (APARTMENT),511,VERBAL THREAT
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,54,M,E25-LIZ,503,HOTEL,0,none
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0325,24,M,G34-SJD,404,DEPARTMENT STORE,0,none
740,VANDALISM - FELONY ($400 & OVER -  ALL CHURCH VANDALISMS),0329 1402,24,M,B42-SKE,108,PARKING LOT,0,none
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,28,M,C63-JJF,404,DEPARTMENT STORE,0,none
210,ROBBERY,0337 0416 0344,20,M,N72-DDD,101,STREET,400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
210,ROBBERY,0344 0416 0342,24,M,S17-EEE,101,STREET,400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
230,ASSAULT WITH DEADLY WEAPON - AGGRAVATED ASSAULT,0355 0411 0906 0346,28,M,C18-DEF,101,STREET,206,SWITCH BLADE
310,BURGLARY,1251 0344 1606,22,F,B82-HHW,502,MULTI-UNIT DWELLING (APARTMENT),0,none
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,47,F,X45-KKW,403,DRUG STORE,0,none
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,24,F,C63-DDL,404,DEPARTMENT STORE,0,none
210,ROBBERY,0448 0429 0344 2004,45,M,N41-EES,203,OTHER BUSINESS,400,STRONG-ARM (HANDS - FIST - FEET OR BODILY FORCE)
